
SetupTitle, ZnO IV
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.00067953791421833149
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.00067953791421833149
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Vanode, Ianode
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Junction IV Fwd
Dimension1, 601, 601, 601, 601, 601, 601, 601
Dimension2, 1, 1, 1, 1, 1, 1, 1
DataName, Vanode, Ianode, Icathode, IanodePerrArea, IcatodePerArea, AbsIanode, LnIanode
DataValue, -5, -3.30824E-05, 3.30551E-05, -3.3082399999999997E-09, 3.3055099999999997E-09, 3.30824E-05, -10.31650913904994
DataValue, -4.99, -3.27421E-05, 3.27364E-05, -3.2742099999999996E-09, 3.27364E-09, 3.27421E-05, -10.326848846355615
DataValue, -4.98, -3.243E-05, 3.24243E-05, -3.2429999999999997E-09, 3.24243E-09, 3.243E-05, -10.336426637645047
DataValue, -4.97, -3.21214E-05, 3.21171E-05, -3.2121399999999996E-09, 3.2117099999999994E-09, 3.21214E-05, -10.345988083285143
DataValue, -4.96, -3.18252E-05, 3.18194E-05, -3.1825199999999995E-09, 3.18194E-09, 3.18252E-05, -10.355252129172914
DataValue, -4.95, -3.15232E-05, 3.15213E-05, -3.15232E-09, 3.1521299999999995E-09, 3.15232E-05, -10.364786775285051
DataValue, -4.94, -3.12256E-05, 3.1223700000000004E-05, -3.1225599999999996E-09, 3.1223700000000003E-09, 3.12256E-05, -10.374272286764947
DataValue, -4.93, -3.0933200000000004E-05, 3.09291E-05, -3.0933200000000002E-09, 3.09291E-09, 3.0933200000000004E-05, -10.383680517194346
DataValue, -4.92, -3.0639800000000004E-05, 3.0636300000000003E-05, -3.06398E-09, 3.0636299999999997E-09, 3.0639800000000004E-05, -10.39321074052833
DataValue, -4.91, -3.03541E-05, 3.03524E-05, -3.03541E-09, 3.0352400000000004E-09, 3.03541E-05, -10.402578958973127
DataValue, -4.9, -3.00652E-05, 3.00659E-05, -3.0065199999999997E-09, 3.0065899999999992E-09, 3.00652E-05, -10.412142201241418
DataValue, -4.89, -2.9782800000000002E-05, 2.97808E-05, -2.9782799999999998E-09, 2.9780799999999997E-09, 2.9782800000000002E-05, -10.421579512294164
DataValue, -4.88, -2.9495600000000003E-05, 2.94915E-05, -2.94956E-09, 2.9491499999999995E-09, 2.9495600000000003E-05, -10.43126945828522
DataValue, -4.87, -2.92086E-05, 2.92075E-05, -2.92086E-09, 2.9207499999999995E-09, 2.92086E-05, -10.441047371504755
DataValue, -4.86, -2.8937600000000002E-05, 2.89366E-05, -2.89376E-09, 2.8936599999999997E-09, 2.8937600000000002E-05, -10.45036877040025
DataValue, -4.8500000000000005, -2.86591E-05, 2.86588E-05, -2.8659099999999997E-09, 2.86588E-09, 2.86591E-05, -10.4600395387091
DataValue, -4.84, -2.83837E-05, 2.83792E-05, -2.83837E-09, 2.8379199999999996E-09, 2.83837E-05, -10.469695521227797
DataValue, -4.83, -2.8107700000000002E-05, 2.8104700000000002E-05, -2.81077E-09, 2.8104699999999997E-09, 2.8107700000000002E-05, -10.479466997809254
DataValue, -4.82, -2.78339E-05, 2.78346E-05, -2.78339E-09, 2.7834599999999994E-09, 2.78339E-05, -10.489255855701384
DataValue, -4.8100000000000005, -2.75698E-05, 2.75673E-05, -2.75698E-09, 2.75673E-09, 2.75698E-05, -10.498789587216759
DataValue, -4.8, -2.73036E-05, 2.73009E-05, -2.7303599999999997E-09, 2.7300899999999996E-09, 2.73036E-05, -10.50849199633533
DataValue, -4.79, -2.70375E-05, 2.70357E-05, -2.7037499999999995E-09, 2.7035699999999992E-09, 2.70375E-05, -10.518285766685096
DataValue, -4.78, -2.67761E-05, 2.6774500000000003E-05, -2.67761E-09, 2.6774499999999997E-09, 2.67761E-05, -10.528000859374442
DataValue, -4.7700000000000005, -2.65124E-05, 2.6513100000000002E-05, -2.6512399999999996E-09, 2.65131E-09, 2.65124E-05, -10.537898009886339
DataValue, -4.76, -2.6259800000000002E-05, 2.6256600000000002E-05, -2.62598E-09, 2.6256600000000002E-09, 2.6259800000000002E-05, -10.547471305264857
DataValue, -4.75, -2.5998700000000002E-05, 2.59962E-05, -2.59987E-09, 2.5996199999999993E-09, 2.5998700000000002E-05, -10.557464021192834
DataValue, -4.74, -2.5745E-05, 2.5743E-05, -2.5744999999999997E-09, 2.5742999999999997E-09, 2.5745E-05, -10.56727012446617
DataValue, -4.73, -2.5490100000000002E-05, 2.54883E-05, -2.5490099999999997E-09, 2.5488299999999998E-09, 2.5490100000000002E-05, -10.577220416476845
DataValue, -4.72, -2.52407E-05, 2.5236E-05, -2.5240699999999995E-09, 2.5235999999999994E-09, 2.52407E-05, -10.587052786919893
DataValue, -4.71, -2.49947E-05, 2.49915E-05, -2.49947E-09, 2.4991499999999996E-09, 2.49947E-05, -10.596846755571249
DataValue, -4.7, -2.47459E-05, 2.4742200000000002E-05, -2.47459E-09, 2.4742199999999998E-09, 2.47459E-05, -10.606850739237796
DataValue, -4.69, -2.4499700000000002E-05, 2.44962E-05, -2.4499700000000004E-09, 2.4496199999999997E-09, 2.4499700000000002E-05, -10.616849685386521
DataValue, -4.68, -2.4252600000000002E-05, 2.42515E-05, -2.4252600000000004E-09, 2.4251499999999996E-09, 2.4252600000000002E-05, -10.626986729833215
DataValue, -4.67, -2.4014E-05, 2.40127E-05, -2.4013999999999996E-09, 2.40127E-09, 2.4014E-05, -10.636873564355748
DataValue, -4.66, -2.37718E-05, 2.37708E-05, -2.37718E-09, 2.3770799999999994E-09, 2.37718E-05, -10.647010553754548
DataValue, -4.65, -2.35317E-05, 2.35306E-05, -2.35317E-09, 2.3530599999999997E-09, 2.35317E-05, -10.657162109640982
DataValue, -4.64, -2.3293000000000002E-05, 2.32926E-05, -2.3293E-09, 2.32926E-09, 2.3293000000000002E-05, -10.667357671715056
DataValue, -4.63, -2.306E-05, 2.30577E-05, -2.3059999999999997E-09, 2.30577E-09, 2.306E-05, -10.677411043123362
DataValue, -4.62, -2.28253E-05, 2.28256E-05, -2.2825299999999996E-09, 2.28256E-09, 2.28253E-05, -10.687640988086594
DataValue, -4.61, -2.26001E-05, 2.2599E-05, -2.2600099999999995E-09, 2.2598999999999996E-09, 2.26001E-05, -10.697556226917062
DataValue, -4.6000000000000005, -2.23714E-05, 2.23678E-05, -2.23714E-09, 2.23678E-09, 2.23714E-05, -10.707727200602909
DataValue, -4.59, -2.2141E-05, 2.2141900000000002E-05, -2.2141E-09, 2.21419E-09, 2.2141E-05, -10.718079464585449
DataValue, -4.58, -2.1916300000000002E-05, 2.19143E-05, -2.1916300000000002E-09, 2.1914299999999997E-09, 2.1916300000000002E-05, -10.728279905752482
DataValue, -4.57, -2.16897E-05, 2.16883E-05, -2.16897E-09, 2.16883E-09, 2.16897E-05, -10.738673064479789
DataValue, -4.5600000000000005, -2.14721E-05, 2.1469E-05, -2.14721E-09, 2.1468999999999997E-09, 2.14721E-05, -10.74875613995783
DataValue, -4.55, -2.12511E-05, 2.12481E-05, -2.12511E-09, 2.12481E-09, 2.12511E-05, -10.759101899227712
DataValue, -4.54, -2.103E-05, 2.1029400000000002E-05, -2.1029999999999995E-09, 2.10294E-09, 2.103E-05, -10.769560568249666
DataValue, -4.53, -2.0813000000000002E-05, 2.08112E-05, -2.0813000000000002E-09, 2.08112E-09, 2.0813000000000002E-05, -10.779932766488159
DataValue, -4.5200000000000005, -2.05971E-05, 2.05949E-05, -2.0597099999999997E-09, 2.05949E-09, 2.05971E-05, -10.790360268777738
DataValue, -4.51, -2.03805E-05, 2.03811E-05, -2.0380499999999996E-09, 2.0381099999999997E-09, 2.03805E-05, -10.800931996613924
DataValue, -4.5, -2.01743E-05, 2.01737E-05, -2.01743E-09, 2.01737E-09, 2.01743E-05, -10.81110104081664
DataValue, -4.49, -1.99639E-05, 1.99638E-05, -1.9963899999999996E-09, 1.9963799999999997E-09, 1.99639E-05, -10.821584915385685
DataValue, -4.48, -1.97543E-05, 1.97533E-05, -1.9754299999999997E-09, 1.9753299999999996E-09, 1.97543E-05, -10.832139368796046
DataValue, -4.47, -1.9546000000000002E-05, 1.9544400000000002E-05, -1.9546000000000003E-09, 1.95444E-09, 1.9546000000000002E-05, -10.842739896047631
DataValue, -4.46, -1.9342000000000002E-05, 1.93413E-05, -1.9342000000000002E-09, 1.93413E-09, 1.9342000000000002E-05, -10.853231660669502
DataValue, -4.45, -1.91374E-05, 1.91372E-05, -1.9137399999999996E-09, 1.91372E-09, 1.91374E-05, -10.863866022337037
DataValue, -4.44, -1.89393E-05, 1.89373E-05, -1.8939299999999995E-09, 1.89373E-09, 1.89393E-05, -10.874271429706655
DataValue, -4.43, -1.87376E-05, 1.8734800000000002E-05, -1.87376E-09, 1.87348E-09, 1.87376E-05, -10.884978357658538
DataValue, -4.42, -1.85381E-05, 1.85366E-05, -1.8538099999999996E-09, 1.8536599999999998E-09, 1.85381E-05, -10.895682484200012
DataValue, -4.41, -1.83397E-05, 1.8337600000000002E-05, -1.8339699999999996E-09, 1.8337599999999999E-09, 1.83397E-05, -10.906442448957858
DataValue, -4.4, -1.81438E-05, 1.81435E-05, -1.8143799999999999E-09, 1.8143499999999996E-09, 1.81438E-05, -10.917181653407376
DataValue, -4.39, -1.79547E-05, 1.79536E-05, -1.7954699999999998E-09, 1.7953599999999999E-09, 1.79547E-05, -10.927658638863576
DataValue, -4.38, -1.77609E-05, 1.77589E-05, -1.77609E-09, 1.7758899999999998E-09, 1.77609E-05, -10.938511146008542
DataValue, -4.37, -1.75693E-05, 1.75684E-05, -1.75693E-09, 1.7568399999999997E-09, 1.75693E-05, -10.949357497196377
DataValue, -4.36, -1.73808E-05, 1.7379E-05, -1.73808E-09, 1.7378999999999998E-09, 1.73808E-05, -10.960144409266924
DataValue, -4.3500000000000005, -1.71916E-05, 1.71893E-05, -1.7191599999999999E-09, 1.71893E-09, 1.71916E-05, -10.971089665530382
DataValue, -4.34, -1.70052E-05, 1.70033E-05, -1.70052E-09, 1.7003299999999999E-09, 1.70052E-05, -10.981991378327587
DataValue, -4.33, -1.68223E-05, 1.68215E-05, -1.6822299999999997E-09, 1.6821499999999998E-09, 1.68223E-05, -10.992805170793963
DataValue, -4.32, -1.66406E-05, 1.66386E-05, -1.66406E-09, 1.6638599999999999E-09, 1.66406E-05, -11.003665065528967
DataValue, -4.3100000000000005, -1.64575E-05, 1.6455600000000002E-05, -1.64575E-09, 1.6455599999999999E-09, 1.64575E-05, -11.01472925760438
DataValue, -4.3, -1.62774E-05, 1.62761E-05, -1.62774E-09, 1.6276100000000001E-09, 1.62774E-05, -11.025732915303811
DataValue, -4.29, -1.6099E-05, 1.60977E-05, -1.6098999999999998E-09, 1.6097699999999997E-09, 1.6099E-05, -11.036753399704116
DataValue, -4.28, -1.59247E-05, 1.59248E-05, -1.59247E-09, 1.59248E-09, 1.59247E-05, -11.047639194988042
DataValue, -4.2700000000000005, -1.5750900000000002E-05, 1.57492E-05, -1.57509E-09, 1.57492E-09, 1.5750900000000002E-05, -11.058613051468081
DataValue, -4.26, -1.55769E-05, 1.5576400000000002E-05, -1.5576899999999998E-09, 1.55764E-09, 1.55769E-05, -11.069721510361797
DataValue, -4.25, -1.54045E-05, 1.54039E-05, -1.54045E-09, 1.5403899999999997E-09, 1.54045E-05, -11.080850883436865
DataValue, -4.24, -1.52334E-05, 1.52316E-05, -1.5233399999999998E-09, 1.5231599999999995E-09, 1.52334E-05, -11.092020172374186
DataValue, -4.23, -1.5062100000000001E-05, 1.5061400000000001E-05, -1.50621E-09, 1.50614E-09, 1.5062100000000001E-05, -11.103328903082614
DataValue, -4.22, -1.48981E-05, 1.48972E-05, -1.4898099999999998E-09, 1.4897199999999997E-09, 1.48981E-05, -11.114276869922339
DataValue, -4.21, -1.47327E-05, 1.4731E-05, -1.4732699999999998E-09, 1.4730999999999998E-09, 1.47327E-05, -11.125441044898013
DataValue, -4.2, -1.4567600000000001E-05, 1.45663E-05, -1.45676E-09, 1.4566299999999998E-09, 1.4567600000000001E-05, -11.136710673356896
DataValue, -4.19, -1.44028E-05, 1.4402300000000001E-05, -1.4402799999999997E-09, 1.4402299999999999E-09, 1.44028E-05, -11.148087925839745
DataValue, -4.18, -1.4240800000000001E-05, 1.42404E-05, -1.42408E-09, 1.42404E-09, 1.4240800000000001E-05, -11.159399473783187
DataValue, -4.17, -1.4080200000000001E-05, 1.4080100000000001E-05, -1.4080199999999999E-09, 1.40801E-09, 1.4080200000000001E-05, -11.170741002789807
DataValue, -4.16, -1.3925E-05, 1.39228E-05, -1.3924999999999997E-09, 1.3922799999999997E-09, 1.3925E-05, -11.181824772150927
DataValue, -4.15, -1.3765800000000001E-05, 1.37652E-05, -1.3765799999999998E-09, 1.37652E-09, 1.3765800000000001E-05, -11.19332330264224
DataValue, -4.14, -1.3609700000000001E-05, 1.3608100000000001E-05, -1.3609699999999997E-09, 1.36081E-09, 1.3609700000000001E-05, -11.204727784159566
DataValue, -4.13, -1.34541E-05, 1.34541E-05, -1.3454099999999998E-09, 1.3454099999999998E-09, 1.34541E-05, -11.216226665654723
DataValue, -4.12, -1.32996E-05, 1.33E-05, -1.32996E-09, 1.3299999999999998E-09, 1.32996E-05, -11.227776598376803
DataValue, -4.11, -1.3151600000000001E-05, 1.31506E-05, -1.3151599999999998E-09, 1.31506E-09, 1.3151600000000001E-05, -11.238967133738258
DataValue, -4.1, -1.29997E-05, 1.29987E-05, -1.29997E-09, 1.2998699999999998E-09, 1.29997E-05, -11.25058427769209
DataValue, -4.09, -1.2850300000000001E-05, 1.28497E-05, -1.2850299999999999E-09, 1.28497E-09, 1.2850300000000001E-05, -11.262143400592064
DataValue, -4.08, -1.2701900000000001E-05, 1.2702700000000001E-05, -1.2701899999999997E-09, 1.27027E-09, 1.2701900000000001E-05, -11.273758969390423
DataValue, -4.07, -1.2555900000000001E-05, 1.25554E-05, -1.2555899999999998E-09, 1.25554E-09, 1.2555900000000001E-05, -11.285319883336129
DataValue, -4.0600000000000005, -1.24108E-05, 1.24094E-05, -1.2410799999999998E-09, 1.2409399999999999E-09, 1.24108E-05, -11.29694349668366
DataValue, -4.05, -1.22688E-05, 1.22681E-05, -1.2268799999999998E-09, 1.2268099999999998E-09, 1.22688E-05, -11.308451103535141
DataValue, -4.04, -1.21261E-05, 1.2126E-05, -1.21261E-09, 1.2126E-09, 1.21261E-05, -11.320150403606203
DataValue, -4.03, -1.19847E-05, 1.1984900000000001E-05, -1.1984699999999997E-09, 1.19849E-09, 1.19847E-05, -11.331879721680325
DataValue, -4.0200000000000005, -1.18457E-05, 1.18448E-05, -1.18457E-09, 1.18448E-09, 1.18457E-05, -11.343545625434405
DataValue, -4.01, -1.17065E-05, 1.17066E-05, -1.1706499999999999E-09, 1.17066E-09, 1.17065E-05, -11.355366314868864
DataValue, -4, -1.1571600000000001E-05, 1.1570700000000001E-05, -1.1571599999999998E-09, 1.1570699999999998E-09, 1.1571600000000001E-05, -11.366956737642072
DataValue, -3.99, -1.14353E-05, 1.14345E-05, -1.1435299999999999E-09, 1.14345E-09, 1.14353E-05, -11.378805495590992
DataValue, -3.98, -1.1301E-05, 1.13001E-05, -1.1300999999999999E-09, 1.13001E-09, 1.1301E-05, -11.390619340586261
DataValue, -3.97, -1.1166700000000001E-05, 1.1167E-05, -1.11667E-09, 1.1166999999999999E-09, 1.1166700000000001E-05, -11.402574422731192
DataValue, -3.96, -1.10347E-05, 1.1034E-05, -1.1034699999999997E-09, 1.1034E-09, 1.10347E-05, -11.414465704850771
DataValue, -3.95, -1.09039E-05, 1.0903E-05, -1.0903899999999998E-09, 1.0902999999999998E-09, 1.09039E-05, -11.426390034558537
DataValue, -3.94, -1.07769E-05, 1.0776600000000001E-05, -1.0776899999999998E-09, 1.0776599999999998E-09, 1.07769E-05, -11.438105603412765
DataValue, -3.93, -1.0647600000000001E-05, 1.06469E-05, -1.06476E-09, 1.0646899999999998E-09, 1.0647600000000001E-05, -11.450176043317118
DataValue, -3.92, -1.05214E-05, 1.0520000000000001E-05, -1.0521399999999998E-09, 1.0519999999999999E-09, 1.05214E-05, -11.462099279661139
DataValue, -3.91, -1.03947E-05, 1.0393400000000001E-05, -1.03947E-09, 1.03934E-09, 1.03947E-05, -11.474214497099617
DataValue, -3.9, -1.0269700000000001E-05, 1.0269000000000001E-05, -1.02697E-09, 1.0269E-09, 1.0269700000000001E-05, -11.486312745745499
DataValue, -3.89, -1.0145400000000001E-05, 1.0145300000000001E-05, -1.0145399999999999E-09, 1.01453E-09, 1.0145400000000001E-05, -11.498490157173972
DataValue, -3.88, -1.00257E-05, 1.0024970000000001E-05, -1.0025699999999998E-09, 1.002497E-09, 1.00257E-05, -11.510358761772915
DataValue, -3.87, -9.9037200000000011E-06, 9.9023900000000013E-06, -9.90372E-10, 9.90239E-10, 9.9037200000000011E-06, -11.522600113827171
DataValue, -3.86, -9.78306E-06, 9.7826100000000009E-06, -9.78306E-10, 9.78261E-10, 9.78306E-06, -11.53485823941978
DataValue, -3.85, -9.6642700000000012E-06, 9.6645800000000009E-06, -9.66427E-10, 9.66458E-10, 9.6642700000000012E-06, -11.547074978420373
DataValue, -3.84, -9.5456E-06, 9.54635E-06, -9.5455999999999986E-10, 9.54635E-10, 9.5456E-06, -11.559430242625982
DataValue, -3.83, -9.4310200000000014E-06, 9.4311200000000016E-06, -9.43102E-10, 9.43112E-10, 9.4310200000000014E-06, -11.571506301738886
DataValue, -3.8200000000000003, -9.3150000000000014E-06, 9.31532E-06, -9.3150000000000014E-10, 9.31532E-10, 9.3150000000000014E-06, -11.583884553910723
DataValue, -3.81, -9.20165E-06, 9.20119E-06, -9.20165E-10, 9.2011899999999991E-10, 9.20165E-06, -11.596127742164091
DataValue, -3.8000000000000003, -9.08834E-06, 9.0884800000000015E-06, -9.0883399999999988E-10, 9.08848E-10, 9.08834E-06, -11.608518284713458
DataValue, -3.79, -8.97884E-06, 8.9781500000000014E-06, -8.97884E-10, 8.9781500000000007E-10, 8.97884E-06, -11.620639859940646
DataValue, -3.7800000000000002, -8.8677200000000012E-06, 8.8685500000000017E-06, -8.86772E-10, 8.8685500000000014E-10, 8.8677200000000012E-06, -11.633092840908054
DataValue, -3.77, -8.7582400000000014E-06, 8.75798E-06, -8.7582399999999991E-10, 8.75798E-10, 8.7582400000000014E-06, -11.645515586443752
