Voltage (V),Current Density (A/cm^2)
-3.79,-0.0045728856615399474
-3.7800000000000002,-0.004516292710255559
-3.77,-0.004460535004112517
-3.7600000000000002,-0.004405123619125643
-3.75,-0.004350129856709441
-3.74,-0.004296877885990437
-3.73,-0.004243447661735171
-3.72,-0.004190226248765242
-3.71,-0.004138191495051006
-3.7,-0.004086080346964084
-3.69,-0.004035675339867109
-3.68,-0.003984521667917828
-3.67,-0.003933923128410053
-3.66,-0.003884170019959982
-3.65,-0.0038348243481642263
-3.64,-0.003787052400445763
-3.63,-0.0037388577371984476
-3.62,-0.003690846420445574
-3.61,-0.003643660162917689
-3.6,-0.0035982360689197175
-3.59,-0.0035516355015824106
-3.58,-0.003506185942793544
-3.5700000000000003,-0.0034605886882174883
-3.56,-0.0034160558619008314
-3.5500000000000003,-0.0033724346750982044
-3.54,-0.003328569026302989
-3.5300000000000002,-0.003285401112778288
-3.52,-0.0032427832387369126
-3.5100000000000002,-0.0032006135450152835
-3.5,-0.0031593402119331486
-3.49,-0.003117965019687435
-3.48,-0.003077007450012394
-3.47,-0.0030366763141933635
-3.46,-0.0029974554432573414
-3.45,-0.002957760927210678
-3.44,-0.002918611357689161
-3.43,-0.0028800678501909385
-3.42,-0.0028417025962289783
-3.41,-0.002804748091682585
-3.4,-0.0027669634349530244
-3.39,-0.002730324693813725
-3.38,-0.002693721603381679
-3.37,-0.002657551414394842
-3.36,-0.002622725766367246
-3.35,-0.0025873755436472187
-3.34,-0.0025523359913761073
-3.33,-0.0025180552898736576
-3.3200000000000003,-0.002483637078500377
-3.31,-0.002450507385546368
-3.3000000000000003,-0.0024174489940068642
-3.29,-0.0023843345799273922
-3.2800000000000002,-0.002352060503947445
-3.27,-0.002320591115359771
-3.2600000000000002,-0.0022890351464830544
-3.25,-0.0022576014086026328
-3.24,-0.0022268297552854735
-3.23,-0.0021961956118391455
-3.22,-0.002166539316363174
-3.21,-0.0021368015335563395
-3.2,-0.002107247097243947
-3.19,-0.0020781815849167324
-3.18,-0.0020495948106583387
-3.17,-0.002021690492795923
-3.16,-0.0019935824566063493
-3.15,-0.001965912414820165
-3.14,-0.001938619251939222
-3.13,-0.001911580736967226
-3.12,-0.0018855404417983026
-3.11,-0.001859240405762253
-3.1,-0.0018331389950951823
-3.09,-0.0018074246492497108
-3.08,-0.0017823316443020703
-3.0700000000000003,-0.0017575900534687766
-3.06,-0.0017329044851754512
-3.0500000000000003,-0.0017083818915438521
-3.04,-0.0016844551740191889
-3.0300000000000002,-0.0016606252226999253
-3.02,-0.0016372689164913035
-3.0100000000000002,-0.0016140093764880816
-3,-0.0015917276844552165
-2.99,-0.0015692626459279093
-2.98,-0.0015470216975604753
-2.97,-0.001525009932311094
-2.96,-0.0015031713276397963
-2.95,-0.0014818929483681824
-2.94,-0.0014610984001235676
-2.93,-0.0014401001335517952
-2.92,-0.0014195653261743066
-2.91,-0.0013992800737475859
-2.9,-0.001379193446689844
-2.89,-0.0013594174900810174
-2.88,-0.0013399369250465696
-2.87,-0.0013209452839972999
-2.86,-0.001302040223237072
-2.85,-0.0012831147906441286
-2.84,-0.0012649482088198474
-2.83,-0.0012466543030410925
-2.82,-0.0012286405099621795
-2.81,-0.0012111156408684447
-2.8000000000000003,-0.001193585678816531
-2.79,-0.0011762390632590592
-2.7800000000000002,-0.0011591063519451026
-2.77,-0.0011424116350345355
-2.7600000000000002,-0.0011258697068693361
-2.75,-0.0011093583364532105
-2.74,-0.0010936516534293575
-2.73,-0.001077639392914768
-2.72,-0.0010620396620126728
-2.71,-0.001046592719855946
-2.7,-0.0010313444030681978
-2.69,-0.00101628452573307
-2.68,-0.0010016575498431525
-2.67,-0.0009870611317023086
-2.66,-0.000972602223432296
-2.65,-0.0009585303799838831
-2.64,-0.0009443668632882491
-2.63,-0.0009304478085852044
-2.62,-0.000916920911661938
-2.61,-0.0009038523809747763
-2.6,-0.0008904171572987309
-2.59,-0.0008774046491515375
-2.58,-0.000864488907209744
-2.57,-0.0008517666976787502
-2.56,-0.0008393296938057771
-2.5500000000000003,-0.0008271778955908248
-2.54,-0.0008151228635812722
-2.5300000000000002,-0.0008030729245298987
-2.52,-0.0007913183770529036
-2.5100000000000002,-0.0007796962464885611
-2.5,-0.0007680588370496817
-2.49,-0.0007568696079305491
-2.48,-0.0007458178886822479
-2.47,-0.0007349444229702096
-2.46,-0.0007240505854254555
-2.45,-0.0007133604662078591
-2.44,-0.0007027110906556942
-2.43,-0.0006923469207615501
-2.42,-0.0006823188861072158
-2.41,-0.0006723112232855975
-2.4,-0.0006624257914602736
-2.39,-0.0006526625906312445
-2.38,-0.0006429605053003625
-2.37,-0.0006334366735057435
-2.36,-0.0006240809093310295
-2.35,-0.0006150154437725152
-2.34,-0.0006059245134231061
-2.33,-0.0005970678591499282
-2.32,-0.0005882417626258241
-2.31,-0.0005794564097671515
-2.3000000000000003,-0.0005710224710228258
-2.29,-0.0005625426956548896
-2.2800000000000002,-0.0005543430329867952
-2.27,-0.000546204485816848
-2.2600000000000002,-0.0005379997301905746
-2.25,-0.0005302329689676901
-2.24,-0.0005223592556230478
-2.23,-0.0005146077732747002
-2.22,-0.0005069678267104712
-2.21,-0.0004995300705859464
-2.2,-0.0004922247313740738
-2.19,-0.0004849784704770771
-2.18,-0.0004777683695831508
-2.17,-0.00047069272278514856
-2.16,-0.00046395677629768164
-2.15,-0.0004570257695119613
-2.14,-0.0004503356596481049
-2.13,-0.0004437229627485684
-2.12,-0.0004371392957106518
-2.11,-0.00043074254023790234
-2.1,-0.00042449755491888534
-2.09,-0.0004182596997413188
-2.08,-0.00041211453640260906
-2.07,-0.0004060192840540529
-2.06,-0.00040015779848591004
-2.05,-0.000394316684750483
-2.04,-0.00038844246678689285
-2.0300000000000002,-0.00038278164377100033
-2.02,-0.0003771737875201688
-2.0100000000000002,-0.0003716245002883951
-2,-0.00036621272292745275
-1.99,-0.0003608753027559229
-1.98,-0.0003554553766618943
-1.97,-0.00035041793172710406
-1.96,-0.00034525978368347304
-1.95,-0.0003401882159288839
-1.94,-0.00033526994621548093
-1.93,-0.00033036848326406846
-1.92,-0.00032560554877512313
-1.9100000000000001,-0.00032087368133106937
-1.9000000000000001,-0.00031615505557828084
-1.8900000000000001,-0.00031151537067726596
-1.8800000000000001,-0.00030692355958313305
-1.87,-0.00030253648540779355
-1.86,-0.00029809135150921415
-1.85,-0.0002937175190251399
-1.84,-0.00028944758288791607
-1.83,-0.0002853029335218942
-1.82,-0.0002812188903582017
-1.81,-0.00027716285846449335
-1.8,-0.0002731541910818492
-1.79,-0.00026912922623303237
-1.78,-0.0002653319166148142
-1.77,-0.00026148062163989925
-1.76,-0.00025769859089621797
-1.75,-0.00025391910663162613
-1.74,-0.0002502969947747635
-1.73,-0.00024671766376660405
-1.72,-0.00024308536599338356
-1.71,-0.00023959770823244502
-1.7,-0.00023611005047150644
-1.69,-0.00023272476116996459
-1.68,-0.0002294204499034679
-1.67,-0.00022604891158900918
-1.6600000000000001,-0.00022284391300700184
-1.6500000000000001,-0.0002196210890713682
-1.6400000000000001,-0.00021646752936696812
-1.6300000000000001,-0.00021337661304816907
-1.62,-0.00021033357053625203
-1.61,-0.00020728339788288446
-1.6,-0.000204328972843281
-1.59,-0.0002014290424561922
-1.58,-0.0001985627255930844
-1.57,-0.00019566075802272402
-1.56,-0.00019194035207300788
-1.55,-0.00018947077665203954
-1.54,-0.0001868565612187893
-1.53,-0.0001842734128304306
-1.52,-0.00018116467115800525
-1.51,-0.00017877149010972102
-1.5,-0.00017629936820966324
-1.49,-0.00017387104574994434
-1.48,-0.00017097468043358077
-1.47,-0.0001687607715131953
-1.46,-0.00016644449413341308
-1.45,-0.00016413229112017402
-1.44,-0.00016182263458602443
-1.43,-0.00015951959889750746
-1.42,-0.00015736935195435873
-1.41,-0.00015511113429781642
-1.4000000000000001,-0.00015287940002380463
-1.3900000000000001,-0.00015070623476885067
-1.3800000000000001,-0.00014860844529494504
-1.37,-0.00014651167441267517
-1.36,-0.00014449435367799678
-1.35,-0.0001424311963197079
-1.34,-0.00014035428797433592
-1.33,-0.00013837567372181747
-1.32,-0.0001360054109853385
-1.31,-0.00013423866379306398
-1.3,-0.00013243168223117584
-1.29,-0.00013056256657950461
-1.28,-0.0001284087545656306
-1.27,-0.00012679072175218118
-1.26,-0.00012487220440617422
-1.25,-0.0001232353276474627
-1.24,-0.0001215118705997092
-1.23,-0.00011982457355502616
-1.22,-0.00011789536099684343
-1.21,-0.0001163358972024518
-1.2,-0.00011474180129244339
-1.19,-0.0001131446496075276
-1.18,-0.0001115734720093244
-1.17,-0.00011001859187729383
-1.16,-0.00010847797202816427
-1.1500000000000001,-0.0001069556868284789
-1.1400000000000001,-0.00010542678078316093
-1.1300000000000001,-0.0001038515288184146
-1.12,-0.00010239901714578072
-1.11,-0.00010098775843439626
-1.1,-9.95693695815613e-05
-1.09,-9.813264607928214e-05
-1.08,-9.675143582115343e-05
-1.07,-9.53809207752005e-05
-1.06,-9.399207107980338e-05
-1.05,-9.269183885671983e-05
-1.04,-9.131011930277325e-05
-1.03,-9.002363806677283e-05
-1.02,-8.872900809768612e-05
-1.01,-8.747817756893829e-05
-1,-8.608321632372645e-05
-0.99,-8.49286427045606e-05
-0.98,-8.370531414997906e-05
-0.97,-8.252935010646167e-05
-0.96,-8.133097704695693e-05
-0.95000000000000007,-8.01748755403374e-05
-0.94000000000000006,-7.903252502080102e-05
-0.93,-7.789475816362567e-05
-0.92,-7.678805835134186e-05
-0.91,-7.56426520568981e-05
-0.9,-7.456549140205216e-05
-0.89,-7.347763553503043e-05
-0.88,-7.243001403762237e-05
-0.87,-7.122858520321026e-05
-0.86,-7.028078568610939e-05
-0.85,-6.924742447160234e-05
-0.84,-6.822730494836053e-05
-0.83000000000000007,-6.723061303274184e-05
-0.82000000000000006,-6.62481814000242e-05
-0.81,-6.511092383866675e-05
-0.8,-6.425123249806157e-05
-0.79,-6.319902733829243e-05
-0.78,-6.234493825168408e-05
-0.77,-6.144959620382631e-05
-0.76,-6.0542031056339084e-05
-0.75,-5.9546867028174085e-05
-0.74,-5.8731993719543586e-05
-0.73,-5.786313505421631e-05
-0.72,-5.70054808968827e-05
-0.71,-5.6035272363794503e-05
-0.70000000000000007,-5.525808694568816e-05
-0.69000000000000006,-5.445849251159448e-05
-0.68,-5.3617135820433485e-05
-0.67,-5.2690217431866286e-05
-0.66,-5.1957340749916724e-05
-0.65,-5.1098668000947333e-05
-0.64,-5.037068055884955e-05
-0.63,-4.9603018972537834e-05
-0.62,-4.886754488191701e-05
-0.61,-4.8107624592037276e-05
-0.6,-4.724615071606947e-05
-0.59,-4.65536611924789e-05
-0.58,-4.577046608372141e-05
-0.57000000000000006,-4.504711323356647e-05
-0.56,-4.4376166923072834e-05
-0.55,-4.3685765512335636e-05
-0.54,-4.299368342539939e-05
-0.53,-4.222683671239629e-05
-0.52,-4.158853626382967e-05
-0.51,-4.092818330634822e-05
-0.5,-4.027236308164603e-05
-0.49,-3.95109658338944e-05
-0.48,-3.893413739054759e-05
-0.47000000000000003,-3.824887986757112e-05
-0.46,-3.759428195283188e-05
-0.45,-3.7001257902476034e-05
-0.44,-3.639438100587346e-05
-0.43,-3.5796009349429726e-05
-0.42,-3.509801943100591e-05
-0.41000000000000003,-3.450275447905133e-05
-0.4,-3.3951441756181e-05
-0.39,-3.337899325686807e-05
-0.38,-3.279055286887327e-05
-0.37,-3.21452241380197e-05
-0.36,-3.159314747142254e-05
-0.35000000000000003,-3.102894956435949e-05
-0.34,-3.0457163149609823e-05
-0.33,-2.9914661244389063e-05
-0.32,-2.9387540072868705e-05
-0.31,-2.879971083985538e-05
-0.3,-2.828720645830858e-05
-0.29,-2.7776892048778726e-05
-0.28,-2.7225120959672296e-05
-0.27,-2.671847348003128e-05
-0.26,-2.6219312648913307e-05
-0.25,-2.571617931041576e-05
-0.24,-2.520138309768844e-05
-0.23,-2.4651954769344323e-05
-0.22,-2.4163234502493177e-05
-0.21,-2.3655568431216376e-05
-0.2,-2.317255227752564e-05
-0.19,-2.2692337250833328e-05
-0.18,-2.218950948982652e-05
-0.17,-2.171224837887799e-05
-0.16,-2.122989430975052e-05
-0.15,-2.0736641310120117e-05
-0.14,-2.023355890120436e-05
-0.13,-1.97050117013939e-05
-0.12,-1.920198022205993e-05
-0.11,-1.8656116964441075e-05
-0.1,-1.807964502816678e-05
-0.09,-1.744404384743499e-05
-0.08,-1.6746716013574435e-05
-0.07,-1.597065104626746e-05
-0.06,-1.5033750459669537e-05
-0.05,-1.3877496164304642e-05
-0.04,-1.2427734689087396e-05
-0.03,-1.0577055546023942e-05
-0.02,-8.065259501752203e-06
-0.01,-4.6554221417878585e-06
0,3.294634645956707e-08
0.01,6.606228842649285e-06
0.02,1.5566422955604937e-05
0.03,2.8404853792242107e-05
0.04,4.658411708238897e-05
0.05,7.244121854561603e-05
0.06,0.00010876979853181758
0.07,0.00016028507051180224
0.08,0.00023186150475863415
0.09,0.00033434812078509264
0.1,0.00047715823319331377
0.11,0.0006800677985921241
0.12,0.0009660272144232838
0.13,0.00136916541203551
0.14,0.0019232792619042526
0.15,0.0027158657855437126
0.16,0.0038316157845114935
0.17,0.005407901619768162
0.18,0.007645446959062126
0.19,0.010796001818136601
0.2,0.015183228782221447
0.21,0.021515049038189408
0.22,0.030547665016449604
0.23,0.04343610870240397
0.24,0.061840226096151064
0.25,0.08755660912489398
0.26,0.12487322299781003
0.27,0.17826626865837011
0.28,0.2543290897650308
0.29,0.3626552916394627
0.3,0.5160857497382287
0.31,0.7273457293672301
0.32,1.029241011340295
0.33,1.4476122468657326
0.34,2.0220724646593435
0.35000000000000003,2.79674196142529
0.36,3.8226012485347685
0.37,5.12396920129222
0.38,6.791663449944515
0.39,8.837555680006764
0.4,11.284009070842695
0.41000000000000003,14.124351847237897
0.42,17.346972064544385
0.43,20.84145438944272
0.44,24.706602210604363
0.45,25.462957429758834
0.46,25.462855570595256
0.47000000000000003,25.462855570595256
0.48,25.46275371143168
0.49,25.46290650017705
0.5,25.46275371143168
0.51,25.462702781849888
0.52,25.462855570595256
0.53,25.46275371143168
0.54,25.46290650017705
0.55,25.462804641013467
0.56,25.46275371143168
0.57000000000000006,25.462804641013467
0.58,25.462804641013467
0.59,25.463110218504205
0.6,25.462651852268102
0.61,25.462651852268102
0.62,25.462651852268102
0.63,25.46290650017705
0.64,25.462651852268102
0.65,25.463110218504205
0.66,25.462855570595256
0.67,25.462855570595256
0.68,25.462804641013467
0.69000000000000006,25.46275371143168
0.70000000000000007,25.462957429758834
0.71,25.462804641013467
0.72,25.46290650017705
0.73,25.462804641013467
0.74,25.462702781849888
0.75,25.462855570595256
0.76,25.462702781849888
0.77,25.46275371143168
0.78,25.462855570595256
0.79,25.462855570595256
0.8,25.46275371143168
0.81,25.46260092268631
0.82000000000000006,25.462651852268102
0.83000000000000007,25.462804641013467
0.84,25.462855570595256
0.85,25.462651852268102
0.86,25.46290650017705
0.87,25.462855570595256
0.88,25.462702781849888
0.89,25.462957429758834
0.9,25.462804641013467
0.91,25.462702781849888
0.92,25.462804641013467
0.93,25.462957429758834
0.94000000000000006,25.462855570595256
0.95000000000000007,25.46290650017705
0.96,25.463008359340627
0.97,25.462957429758834
0.98,25.46275371143168
0.99,25.462855570595256
1,25.462804641013467
